"S.N","Branch.Name","BRANCH.UPDATED","City","State","lat","long"
120,"PORT HARCOURT SERVICE CENTRE","133A OLU OBASANJO ROAD, GRA","PORT HARCOURT","RIVERS",4.8141175,7.0040902
121,"RING ROAD","1B, MOSHOOD ABIOLA WAY RING ROAD, IBADAN","IBADAN","OYO",7.3775355,3.9470396
122,"SABON GARI-KANO","1, GALADIMA ROAD SABON GARI-KANO KANO","SABON GARI","KANO",12.0141201,8.5324842
123,"SABON TASHA","32, KACHIA ROAD, SABON TASHA KADUNA","SABON TASHA","KADUNA",10.491086,7.4188381
124,"SAKI","ILESHA-IBARUBA ROAD, OPP. SAKI WEST LOCALGOVT.","SAKI","OYO",8.6033433,3.1378173
125,"SANGO-OTTA 2","KM 38, ABEOKUTA EXPRESWAY","SANGO OTTA","OGUN",6.5990032,3.3392707
126,"SAPELE ROAD","131A, SAPELE ROAD,","SAPELE","EDO",6.3079873,5.6301525
127,"SATELLITE","389, OLD OJO ROAD","SATELLITE, LAGOS","LAGOS",6.4549075,3.2576059
128,"SHAGAMU","167, AKARIGO ROAD SHAGAMU","SHAGAMU","OGUN",6.8355915,3.6433425
129,"SHAUCHI","1 RIMI QUARTERS, UMMA BAYERO ROAD KANO","SHAUSHI","KANO",11.9596826,8.4975723
130,"SHOMOLU","22, MARKET STREET SHOMOLU LAGOS","SHOMOLU","LAGOS",6.5334842,3.3772956
131,"SOKOTO","8, MAIDUGURI ROAD P.M.B 2375","SOKOTO/MAIDUGURI ROAD P.M","SOKOTO",11.9741198,8.569277
132,"SULEJA","MINNA ROAD, OPPOSITE FORCE A DIVISION, SULEJA","SULEJA","NIGER",9.1887896,7.1782486
133,"SURULERE","84 ADENIRAN OGUNSANYA STREET","SURULERE","LAGOS",6.4921702,3.3564155
134,"TEJUOSHO","77, OJUELEGBA ROAD, YABA LAGOS","TEJUOSHO","LAGOS",6.5096248,3.3647001
135,"TOWER MALL","SHOP 10, GRAND TOWER. ABUJA MALL, APO, ABUJA","ABUJA","ABUJA",9.096659,7.497272
136,"TOYIN STREET","36A,TOYIN STREET,IKEJA P.M.B.21778,IKEJA","IKEJA","LAGOS",6.5957959,3.3511144
137,"TRADE FAIR","OBASANJO HALL/HALL 2 ASPAMDA PLAZA","TRADE FAIR , OJO , LAGOS","LAGOS",6.4690891,3.2431957
138,"TRANS AMADI - P/H","7, TRANS-AMADI ROAD","TRANS-AMADI","RIVERS",4.8062669,7.0267195
139,"TRANS AMADI 2 BRANCH","87, TRANS AMADI","TRANS-AMADI","RIVERS",4.8206453,7.0552218
141,"UMUAHIA","2 MARKET ROAD BY LIBRARY AVENUE, UMUAHIA","UMUAHIA","ABIA",5.5281371,7.4903993
142,"UNIBEN","UNIVERSITY OF BENIN, UGBOWO CAMPUS, BENIN, ED","BENIN","EDO",6.3997845,5.609863
143,"UYO BRANCH","65B NWANIBA ROAD","UYO","AKWA IBOM",5.0275871,7.9439045
145,"WARRI","98, EFFURUN-SAPELE ROAD","WARRI","DELTA",5.5279152,5.7734726
146,"WUSE 2","PLOT 1387 AMINU KANO CRESCENT, WUSE II, ABUJA","ABUJA","ABUJA",9.0735267,7.470749
147,"YENEGOA","623, MBIAMA-YENEGOA ROAD, YENEGOA","YENAGOA","BAYELSA",4.9495937,6.336307
148,"YOLA","1, MUHAMMED MUSTAPHA WAY, JIMETA","YOLA","ADAMAWA",9.2485489,12.4495221
149,"ZARIA","4, PARK ROAD","ZARIA/PARK","KADUNA",22.2843861,114.145508
